xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:T	1960-06	1961-06	1962-06	1963-06	1964-06	1965-06	1966-06	1967-06	1968-06	1969-06	1970-06	1971-06	1972-06	1973-06	1974-06	1975-06	1976-06	1977-06	1978-06	1979-06	1980-06	1981-06	1982-06	1983-06	1984-06	1985-06	1986-06	1987-06	1988-06	1989-06	1990-06	1991-06	1992-06	1993-06	1994-06	1995-06
cpt:field=prcp, cpt:nrow=36, cpt:ncol=59, cpt:row=T, cpt:col=station, cpt:units=inches, cpt:missing=-99.99
	300042	300085	300093	300183	300321	300360	300443	300448	300687	300889	300937	301012	301185	301387	301401	301752	301799	301966	301974	302610	303033	303184	303259	303319	303773	304102	304174	304555	304647	304791	304796	304844	304912	305113	305426	305512	305801	306085	306164	306314	306517	306659	306774	306820	307167	307484	307497	307633	308248	308383	308600	308631	308739	308906	308910	308944	309000	309292	309670
cpt:X	-73.8	-77.78	-78.75	-78.02	-76.53	-75.45	-78.18	-77.35	-75.98	-72.3	-77.93	-78.73	-75.12	-74.22	-73.43	-74.92	-76.18	-73.72	-77.72	-76.8	-79.3	-77.03	-73.93	-74.35	-77.62	-74.28	-76.45	-73.98	-74.65	-74.87	-74.87	-78.65	-75.48	-74.97	-74.15	-75.7	-73.97	-75.53	-75.43	-76.5	-77.18	-73.47	-74.68	-73.92	-77.67	-73.82	-73.8	-73.1	-75.03	-76.12	-73.68	-74.43	-75.2	-74.17	-78.52	-74.9	-75.87	-73.97	-73.8
cpt:Y	42.75	42.25	42.1	42.3	42.92	42.28	42.98	42.35	42.22	40.95	43.2	42.93	44.57	44.75	44.88	42.7	42.6	44.72	42.57	42.1	42.45	42.88	41.52	43.05	42.78	43.75	42.45	44.25	44.75	43.07	43.03	43.18	43.8	42.52	41.77	42.83	40.78	42.53	44.73	43.47	42.67	44.65	41.38	41.63	43.13	43.03	40.98	40.97	43.88	43.12	42.75	44.23	43.08	41.55	42.75	44.15	43.97	41.38	41.27
cpt:elev																																																											
cpt:Name	ALBANY WSFOAP	ALFRED	ALLEGANY STATE PARK	ANGELICA	AUBURN	BAINBRIDGE 2E	BATAVIA	BATH	BINGHAMTON WSO AP	BRIDGEHAMPTON	BROCKPORT	BUFFALO WSCMO AP	CANTON 4SE	CHASM FALLS	CHAZY	COOPERSTOWN	CORTLAND	DANNEMORA	DANSVILLE	ELMIRA	FREDONIA	GENEVA RESR FM	GLENHAM	GLOVERSVILLE	HEMLOCK	INDIAN LAKE 2SW	ITHACA CORNELL UN	LAKE PLACID 2S	LAWRENCEVILLE	LITTLE FALLS CITY RESER	LITTLE FALLS MILL ST	LOCKPORT 2NE	LOWVILLE	MARYLAND 6SW	MOHONK LAKE	MORRISVILLE 5SW	NEW YORK CENTRAL PARK	NORWICH	OGDENSBURG 4NE	OSWEGO EAST	PENN YAN 8W	PLATTSBURGH AFB	PORT JERVIS	POUGHKEEPSIE	ROCHESTER AIRPORT	SARATOGA SPRINGS 4SW	SCARSDALE	SETAUKET STRONG	STILLWATER RESERVOIR	SYRACUSE WSO AP	TROY LOCK & DAM	TUPPER LAKE SUNMOUNT	UTICA	WALDEN 1ESE	WALES	WANAKENA RANGER SCHOOL	WATERTOWN	WEST POINT	YORKTOWN HEIGHTS 1W
1960-06	  2.70000    	  7.19000    	  4.41000    	  3.52000    	  1.53000    	  9.59000    	  2.78000    	  4.75000    	  9.46000    	  2.34000    	  1.45000    	  2.48000    	  3.84000    	  3.29000    	  2.49000    	  4.10000    	  4.62000    	  2.73000    	  3.96000    	  3.91000    	  3.40000    	  2.91000    	  5.28000    	  4.78000    	  2.80000    	  3.92000    	  4.31000    	  4.67000    	  3.16000    	  5.78000    	  4.37000    	  2.65000    	  4.72000    	  6.41000    	  3.68000    	  3.35000    	  1.74000    	  6.79000    	  3.16000    	  4.80000    	  3.27000    	  2.43000    	  4.31000    	  4.75000    	  3.05000    	  3.09000    	  1.12000    	  1.47000    	  5.05000    	  1.86000    	  4.94000    	  4.05000    	  3.69000    	  5.74000    	  4.30000    	  5.16000    	  4.56000    	  5.02000    	  3.17000    
1961-06	  2.97000    	  5.33000    	  5.39000    	  6.78000    	  3.94000    	  6.28000    	  4.90000    	  3.21000    	  3.91000    	  2.04000    	  4.91000    	  3.66000    	  4.03000    	  4.83000    	  3.79000    	  5.12000    	  7.01000    	  3.21000    	  5.26000    	  4.53000    	  4.20000    	  4.23000    	  2.97000    	  5.12000    	  4.30000    	  4.99000    	  5.61000    	  3.44000    	  4.69000    	  6.21000    	  5.74000    	  3.75000    	  5.15000    	  5.58000    	  5.03000    	  5.50000    	  2.86000    	  6.24000    	 -99.9900    	  4.70000    	  5.09000    	  2.49000    	  2.66000    	  3.14000    	  3.78000    	  4.20000    	  3.10000    	  2.39000    	  5.55000    	  3.68000    	  3.37000    	  4.88000    	  5.59000    	  2.29000    	  4.44000    	  5.37000    	  3.82000    	  3.01000    	  2.73000    
1962-06	  1.15000    	  3.66000    	  4.34000    	  3.11000    	  1.37000    	  3.64000    	  5.21000    	  2.13000    	  2.57000    	  3.88000    	  2.78000    	  2.80000    	  1.98000    	  2.33000    	  3.50000    	  3.64000    	  2.59000    	  2.62000    	  3.58000    	  2.99000    	  4.93000    	  2.04000    	  2.92000    	  2.01000    	  3.84000    	  1.72000    	  2.26000    	  2.28000    	  2.25000    	  2.13000    	  2.91000    	  3.71000    	  1.62000    	  3.42000    	  2.79000    	  2.00000    	  3.73000    	  5.19000    	  2.71000    	  2.50000    	  3.25000    	  1.98000    	  2.16000    	  2.82000    	  3.02000    	  2.14000    	  5.07000    	  3.76000    	  2.61000    	  1.10000    	  1.53000    	  2.72000    	  2.53000    	 -99.9900    	  2.34000    	  1.94000    	  2.48000    	  3.46000    	  3.71000    
1963-06	  2.94000    	  2.17000    	  1.80000    	  1.49000    	 0.930000    	  2.30000    	 0.310000    	  1.88000    	  4.24000    	  3.80000    	 0.240000    	 0.610000    	  3.73000    	  2.15000    	  1.36000    	  2.26000    	  3.78000    	  1.80000    	  1.08000    	  1.59000    	  1.68000    	  2.68000    	  4.67000    	  2.28000    	 0.810000    	  2.90000    	  2.36000    	  2.91000    	  3.14000    	  4.44000    	  2.56000    	 0.520000    	  1.39000    	  4.04000    	  4.07000    	  2.79000    	  2.72000    	  3.06000    	  1.15000    	 0.910000    	 0.460000    	 0.870000    	  2.75000    	  4.32000    	 0.220000    	  2.70000    	  2.25000    	  6.17000    	  3.33000    	  2.49000    	  2.36000    	  5.03000    	  2.33000    	  4.61000    	  2.16000    	  2.89000    	  1.19000    	  3.60000    	  4.51000    
1964-06	 0.650000    	  2.33000    	  5.26000    	  2.67000    	  1.12000    	  1.96000    	  1.57000    	  1.98000    	  1.22000    	  1.15000    	  1.28000    	  1.55000    	  1.87000    	  2.09000    	  1.02000    	 0.930000    	  2.43000    	  1.46000    	  2.44000    	  1.50000    	  2.34000    	  2.34000    	  3.41000    	 0.670000    	  2.64000    	  1.20000    	  3.03000    	  2.09000    	  1.68000    	 0.800000    	 0.580000    	  1.99000    	  1.43000    	  2.04000    	  1.46000    	  2.07000    	  2.67000    	  2.15000    	 0.970000    	  1.27000    	  2.66000    	  2.01000    	  2.23000    	  2.98000    	  1.13000    	 0.330000    	  2.83000    	  1.26000    	  2.42000    	  1.41000    	 0.700000    	  1.64000    	  1.70000    	 -99.9900    	  1.88000    	  1.72000    	 0.780000    	  4.09000    	  2.96000    
1965-06	  1.91000    	  3.55000    	  3.24000    	  3.27000    	  1.68000    	  2.99000    	  2.47000    	  3.61000    	  1.90000    	  1.85000    	  1.34000    	  1.50000    	 0.840000    	  1.82000    	  2.25000    	  2.12000    	  1.82000    	  3.46000    	  1.79000    	  2.51000    	  2.80000    	 0.960000    	  1.03000    	  3.43000    	  1.22000    	  2.39000    	  2.75000    	  3.56000    	  1.06000    	  4.22000    	  3.43000    	 0.870000    	  2.89000    	  2.18000    	  1.40000    	  2.65000    	  1.27000    	  2.33000    	 0.620000    	  3.30000    	  1.31000    	  1.96000    	  1.82000    	  1.54000    	 0.640000    	  1.81000    	 0.950000    	  1.57000    	  3.60000    	  2.04000    	  2.20000    	  2.04000    	 -99.9900    	  1.37000    	  1.30000    	  3.77000    	  2.42000    	  1.58000    	  1.33000    
1966-06	  2.95000    	  3.69000    	  5.63000    	  4.37000    	  2.25000    	  2.68000    	  1.81000    	  3.38000    	  2.90000    	  1.75000    	  1.57000    	  1.97000    	  3.41000    	  3.28000    	  3.62000    	  3.42000    	  4.04000    	  2.17000    	  3.38000    	  5.02000    	  2.43000    	  2.33000    	  1.18000    	  4.33000    	  2.09000    	  2.47000    	  3.87000    	  2.63000    	  3.14000    	  4.25000    	  4.04000    	  2.42000    	  1.86000    	  2.29000    	  3.44000    	  4.00000    	  1.17000    	  3.81000    	  3.08000    	  2.04000    	  2.75000    	  1.63000    	 0.590000    	  1.04000    	  1.85000    	  7.30000    	  1.56000    	  1.27000    	  3.85000    	  2.73000    	  2.23000    	  2.54000    	 -99.9900    	  1.68000    	  3.87000    	  2.51000    	  2.98000    	 0.690000    	 0.660000    
